make,model,mpg,transmission,gears,drive,disp,cyl,class,sidi,aspiration,fuel,atvType,startStop
GMC,Sierra 4WD,16.79,Automatic,6,4WD,5.3,8,Std Pickup Truck,Y,Natural,Regular,None,N
GMC,Sierra 4WD,23.8267,Automatic,10,4WD,3,6,Std Pickup Truck,N,Turbo,Diesel,Diesel,Y
GMC,Sierra Cab Chassis 2WD,17,Automatic,6,RWD,4.3,6,SPV,Y,Natural,Regular,None,N
Cadillac,XT5 FWD,21.0733,Automatic,9,FWD,3.6,6,Sm SUV,Y,Natural,Regular,None,Y
Chevrolet,Blazer FWD,23.0837,Automatic,9,FWD,2.5,4,Sm SUV,Y,Natural,Regular,None,Y
Mercedes-Benz,GLC300,24.2628,Automatic,9,RWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
GMC,Acadia FWD,23.0837,Automatic,9,FWD,2.5,4,Std SUV,Y,Natural,Regular,None,Y
Toyota,Sequoia 4WD,14.3605,Automatic,6,PT 4WD,5.7,8,Std SUV,N,Natural,Regular,None,N
Lotus,Evora GT,19.8407,Automatic,6,RWD,3.5,6,Minicompact,N,Super,Premium,None,N
Mercedes-Benz,C300 Convertible,23.8668,Automatic,9,RWD,2,4,Subcompact,Y,Turbo,Premium,None,Y
Lexus,ES 350,25.5162,Automatic,8,FWD,3.5,6,Midsize,Y,Natural,Regular,None,N
Toyota,Prius AWD,50,CVT,1,PT 4WD,1.8,4,Midsize,N,Natural,Regular,Hybrid,Y
Ford,Explorer HEV AWD,24.5194,Automatic,10,PT 4WD,3.3,6,Std SUV,Y,Natural,Regular,Hybrid,Y
Volvo,S90 AWD PHEV,29.7,Automatic,8,AWD,2,4,Midsize,Y,Natural,Premium,Plug-in Hybrid,Y
Ford,Mustang Convertible,23,Manual,6,RWD,2.3,4,Subcompact,Y,Turbo,Regular,None,N
Ford,Mustang HO Coupe,23,Automatic,10,RWD,2.3,4,Subcompact,Y,Turbo,Regular,None,N
Ford,Mustang HO Convertible,23,Automatic,10,RWD,2.3,4,Subcompact,Y,Turbo,Regular,None,N
Mercedes-Benz,E350,26.2664,Automatic,9,RWD,2,4,Midsize,Y,Turbo,Premium,None,Y
GMC,Sierra 4WD,16.1974,Automatic,6,4WD,5.3,8,Std Pickup Truck,Y,Natural,Regular,FFV,N
Chevrolet,Blazer FWD,21.4398,Automatic,9,FWD,3.6,6,Sm SUV,Y,Natural,Regular,None,Y
Lexus,RX 350 AWD,21.8285,Automatic,8,AWD,3.5,6,Sm SUV,Y,Natural,Regular,None,N
Audi,TT Roadster quattro,25.9952,Manual,7,AWD,2,4,Two Seater,Y,Turbo,Regular,None,Y
Porsche,911 Carrera 4S,20,Manual,8,AWD,3,6,Minicompact,Y,Turbo,Premium,None,Y
Audi,TT Coupe quattro,25.9952,Manual,7,AWD,2,4,Subcompact,Y,Turbo,Regular,None,Y
BMW,M8 Competition Coupe,17.0858,Automatic,8,AWD,4.4,8,Subcompact,Y,Turbo,Premium,None,Y
Ford,Mustang Bullitt,17.3194,Manual,6,RWD,5,8,Subcompact,N,Natural,Regular,None,N
Mercedes-Benz,CLA250 4matic,26.8359,Manual,7,4WD,2,4,Compact,Y,Turbo,Premium,None,Y
Toyota,Camry XSE,25.6327,Automatic,8,FWD,3.5,6,Midsize,Y,Natural,Regular,None,N
Rolls-Royce,Phantom EWB,14.391,Automatic,8,RWD,6.7,12,Large,Y,Turbo,Premium,None,N
Mitsubishi,Outlander Sport 2WD,25,CVT,6,FWD,2.4,4,Sm SUV,N,Natural,Regular,None,N
Jeep,Renegade 4WD,23.9283,Automatic,9,AWD,2.4,4,Sm SUV,N,Natural,Regular,None,N
Subaru,Crosstrek AWD,24.9374,Manual,6,AWD,2,4,Sm SUV,Y,Natural,Regular,None,N
Bentley,Bentayga,17.3377,Automatic,8,AWD,4,8,Std SUV,Y,Turbo,Premium,None,Y
BMW,X5 xDrive40i,22.2797,Automatic,8,AWD,3,6,Std SUV,Y,Turbo,Premium,None,Y
Mercedes-Benz,AMG GT C Roadster,16.8371,Manual,7,RWD,4,8,Two Seater,Y,Turbo,Premium,None,Y
Porsche,911 Carrera 4S Cabriolet,20,Manual,8,AWD,3,6,Minicompact,Y,Turbo,Premium,None,Y
Infiniti,Q50 Red Sport  AWD,21.9477,Automatic,7,AWD,3,6,Midsize,Y,Turbo,Premium,None,N
Nissan,Pathfinder 2WD,22.6338,CVT,1,FWD,3.5,6,Sm SUV,Y,Natural,Regular,None,N
Toyota,Corolla Hatchback XSE,33.1681,CVT,10,FWD,2,4,Compact,Y,Natural,Regular,None,N
