make,model,mpg,transmission,gears,drive,disp,cyl,class,sidi,aspiration,fuel,atvType,startStop
Ford,EcoSport AWD,25,Automatic,6,AWD,2,4,Sm SUV,Y,Natural,Regular,None,Y
GMC,Yukon K1500 XL 4WD,16.2524,Automatic,6,4WD,5.3,8,Std SUV,Y,Natural,Regular,None,N
Land Rover,Range Rover,18.0917,Automatic,8,4WD,5,8,Std SUV,Y,Super,Premium,None,Y
Land Rover,Range Rover LWB SVA,15.1147,Automatic,8,4WD,5,8,Std SUV,Y,Super,Premium,None,Y
Jaguar,F-Type SVR AWD Coupe,18.4489,Automatic,8,AWD,5,8,Two Seater,Y,Super,Premium,None,Y
Jaguar,F-Type SVR AWD Convertible,18.4489,Automatic,8,AWD,5,8,Two Seater,Y,Super,Premium,None,Y
Chevrolet,Camaro,22.4537,Automatic,10,RWD,3.6,6,Subcompact,Y,Natural,Regular,None,N
Buick,Regal AWD,21.638,Automatic,9,AWD,3.6,6,Midsize,Y,Natural,Regular,None,Y
Honda,Insight,51.9827,CVT,1,FWD,1.5,4,Midsize,N,Natural,Regular,Hybrid,Y
Honda,Insight Touring,47.975,CVT,1,FWD,1.5,4,Midsize,N,Natural,Regular,Hybrid,Y
Ram,1500 2WD,21.8024,Automatic,8,RWD,3.6,6,Std Pickup Truck,N,Natural,Regular,Hybrid,Y
Ram,1500 2WD,19.0135,Automatic,8,RWD,5.7,8,Std Pickup Truck,N,Natural,Mid,Hybrid,Y
Ram,1500 HFE 2WD,22.5953,Automatic,8,RWD,3.6,6,Std Pickup Truck,N,Natural,Regular,Hybrid,Y
Ram,1500 4WD,17.0221,Automatic,8,4WD,5.7,8,Std Pickup Truck,N,Natural,Mid,None,N
Acura,MDX FWD,23,Automatic,9,FWD,3.5,6,Sm SUV,Y,Natural,Premium,None,N
Jeep,Cherokee FWD,25.7892,Automatic,9,FWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
Nissan,Rogue FWD,28.5783,CVT,1,FWD,2.5,4,Sm SUV,N,Natural,Regular,None,N
Acura,MDX AWD A-SPEC,21.3495,Automatic,9,AWD,3.5,6,Sm SUV,Y,Natural,Premium,None,N
Acura,MDX Hybrid AWD,26.8723,Manual,7,AWD,3,6,Sm SUV,N,Natural,Premium,Hybrid,Y
BMW,X4 M Competition,16.1587,Automatic,8,AWD,3,6,Sm SUV,Y,Turbo,Premium,None,Y
Jeep,Cherokee 4WD,24.0852,Automatic,9,AWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
Jeep,Cherokee 4WD,22.1899,Automatic,9,AWD,3.2,6,Sm SUV,N,Natural,Regular,None,Y
Jeep,Cherokee Trailhawk 4WD,22.2086,Automatic,9,AWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
Jeep,Cherokee Trailhawk 4WD,20.6882,Automatic,9,AWD,3.2,6,Sm SUV,N,Natural,Regular,None,Y
Jeep,Wrangler 4WD,20.4192,Automatic,8,4WD,3.6,6,Sm SUV,N,Natural,Regular,None,Y
Jeep,Wrangler Unlimited 4WD,20.3429,Automatic,8,4WD,3.6,6,Sm SUV,N,Natural,Regular,Hybrid,Y
Jeep,Wrangler Unlimited 4WD,20.4477,Automatic,8,4WD,3.6,6,Sm SUV,N,Natural,Regular,None,Y
Mercedes-Benz,GLE350,22.4215,Automatic,9,RWD,2,4,Sm SUV,Y,Turbo,Premium,None,Y
Nissan,Rogue AWD,27.4629,CVT,1,AWD,2.5,4,Sm SUV,N,Natural,Regular,None,N
Porsche,Macan S,20.1,Manual,7,AWD,3,6,Sm SUV,Y,Turbo,Premium,None,Y
